# output_current.csv run at 2019-05-07 15:52:24 PDT on 53 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
recloser_392-31703,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
recloser_Breaker Recloser_SPU125_1,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
recloser_Breaker Recloser_SPU125_2,0.000000,1.249046,0.000000,0.785398,0.000000,3.926991
recloser_Breaker Recloser_SPU125_3,0.000000,0.661043,0.000000,-0.785398,0.000000,2.521343
recloser_Breaker Recloser_SPU125_4,0.000000,2.356194,0.000000,0.785398,0.000000,-0.321751
FUSEs_402-619382,0.000000,0.000000,2844.562347,3.952045,0.000000,0.000000
389-1253829-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1253832-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1253833-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1253836-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1253838-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1254098-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1254100-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1254104-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1254106-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1254108-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1254110-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1254111-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1254404-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1254407-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1254409-0,0.000000,3.880403,0.000000,-0.429340,0.000000,-0.600795
389-1254410-0,0.000000,-0.750441,0.000000,3.168198,0.000000,-0.650803
389-1254416-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1254775-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1254776-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1256957-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1264313-0,2844.501977,-0.236699,2844.562347,3.952045,2844.018058,1.858076
389-1459444-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1459977-0,0.000000,3.371469,0.000000,3.414659,0.000000,0.283592
389-1459981-0,2844.501977,-0.236699,2844.562347,3.952045,2844.018058,1.858076
389-1473434-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1901580-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1901581-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-1901581-1,2844.501977,-0.236699,2844.562347,3.952045,2844.018058,1.858076
389-3024801-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-3024906-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
389-3027874-0,0.000000,-1.178761,0.000000,-1.178761,0.000000,-1.283720
389-3104113-0,0.000000,0.273826,0.000000,0.575948,0.000000,2.359978
389-3104179-0,0.000000,-0.900149,0.000000,-0.900149,0.000000,1.609416
389-781140-0,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
401-129004-0,0.000000,1.121840,0.000000,-0.427806,0.000000,3.186334
401-129005-0,0.000000,-0.767310,0.000000,1.404293,0.000000,2.528965
Regulator_416-32980,896.449011,-0.236699,896.468036,3.952045,896.296503,1.858076
Switch_396-67860,2844.501977,-0.236699,2844.562347,3.952045,2844.018058,1.858076
Switch_390-59546,896.449010,-0.236699,896.468036,3.952045,896.296503,1.858076
Switch_390-59548,0.000000,2.356194,0.000000,0.000000,0.000000,0.197396
Trafo_409-401941,896.449011,-0.236699,896.468036,3.952045,896.296503,1.858076
394-1053215,2844.501977,-0.236699,0.000000,0.000000,0.000000,0.000000
394-1053216,0.000000,0.000000,2844.562347,3.952045,0.000000,0.000000
394-1053217,0.000000,0.000000,0.000000,0.000000,2844.018058,1.858076
411-908050-0,2844.501977,-0.236699,0.000000,0.000000,0.000000,0.000000
411-908053-0,0.000000,0.000000,2844.562347,3.952045,0.000000,0.000000
411-908056-0,0.000000,0.000000,0.000000,0.000000,2844.018058,1.858076
