# output_voltage.csv run at 2019-05-07 15:52:24 PDT on 58 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
Large_customer_389-1459981-0,2193.209139,-0.146100,2192.944571,4.042640,2195.359931,1.948714
LOAD_389-1254410-0,7654.332269,-0.096852,7654.216984,4.091872,7655.076512,1.997505
LOAD_389-1459981-0,2193.209139,-0.146100,2192.944571,4.042640,2195.359931,1.948714
LOAD_389-1901581-1,2397.347505,-0.114649,2397.308280,4.074062,2397.624510,1.979703
LOAD_389-3024801-0,7631.746544,-0.105126,7631.626406,4.083592,7632.554391,1.989229
LOAD_389-3024906-0,7639.733650,-0.102165,7639.615160,4.086555,7640.518751,1.992191
390-59546,7616.214253,-0.110953,7616.091150,4.077760,7617.066895,1.983400
390-59548,7613.150430,-0.112121,7613.026778,4.076591,7614.012043,1.982231
392-106294,2193.209139,-0.146100,2192.944571,4.042640,2195.359931,1.948714
392-106314,2193.209139,-0.146100,2192.944571,4.042640,2195.359931,1.948714
392-89014,7639.733650,-0.102165,7639.615160,4.086555,7640.518751,1.992191
392-89655,7625.551014,-0.107444,7625.429653,4.081272,7626.376668,1.986910
396-67860,2356.065112,-0.118279,2356.024461,4.070428,2356.359370,1.976065
402-619382,2277.058059,-0.137101,2276.796610,4.051648,2279.181643,1.957705
403-1203449,7631.746544,-0.105126,7631.626406,4.083592,7632.554391,1.989229
403-470566,7643.464885,-0.100813,7643.347185,4.087908,7644.239563,1.993543
403-470567,7645.131160,-0.100202,7645.013821,4.088519,7645.901143,1.994154
403-520825,7956.468473,-0.003555,7956.462246,4.185233,7956.495805,2.090839
403-520826,7966.889945,-0.000782,7966.888550,4.188008,7966.896006,2.093613
403-520827,7949.007808,-0.005554,7948.998155,4.183232,7949.050482,2.088838
403-520828,7950.191644,-0.005236,7950.182533,4.183551,7950.231877,2.089157
403-520830,7923.731897,-0.012421,7923.710855,4.176360,7923.827277,2.081968
403-520831,7902.475587,-0.018312,7902.445236,4.170466,7902.616191,2.076075
403-520833,7854.673832,-0.031968,7854.623518,4.156800,7854.919335,2.062412
403-520834,7810.891108,-0.045016,7810.823803,4.143743,7811.236887,2.049359
403-520836,7781.084040,-0.054223,7781.005954,4.134530,7781.500592,2.040149
403-520837,7706.693928,-0.078493,7706.592130,4.110243,7707.297067,2.015870
403-520838,7701.047350,-0.080418,7700.943959,4.108317,7701.665289,2.013944
403-520839,7695.605032,-0.082286,7695.500137,4.106448,7696.237327,2.012076
403-521113,7661.927563,-0.094115,7661.814049,4.094610,7662.650780,2.000242
403-521114,7654.934782,-0.096634,7654.819635,4.092090,7655.677350,1.997723
403-521116,7654.332269,-0.096852,7654.216984,4.091872,7655.076512,1.997505
403-618762,7621.986927,-0.108786,7621.864886,4.079928,7622.822893,1.985567
403-695209,7614.020471,-0.111789,7613.896974,4.076923,7614.879532,1.982563
406-905990,2193.209139,-0.146100,2192.944571,4.042640,2195.359931,1.948714
409-401941,2397.347505,-0.114649,2397.308280,4.074062,2397.624510,1.979703
416-32980,7968.753859,-0.000288,7968.753334,4.188502,7968.756135,2.094107
500-230227,7654.332269,-0.096852,7654.216984,4.091872,7655.076512,1.997505
500-625939,7654.332269,-0.096852,7654.216984,4.091872,7655.076512,1.997505
500-709718,7654.332269,-0.096852,7654.216984,4.091872,7655.076512,1.997505
500-709719,7654.332269,-0.096852,7654.216984,4.091872,7655.076512,1.997505
500-712882,7625.551014,-0.107444,7625.429653,4.081272,7626.376668,1.986910
500-933236,7613.150430,-0.112121,7613.026778,4.076591,7614.012043,1.982231
500-933238,2340.538416,-0.120970,0.000000,0.000000,0.000000,0.000000
500-933240,0.000000,0.000000,2340.497672,4.067736,0.000000,0.000000
500-933242,0.000000,0.000000,0.000000,0.000000,2340.838047,1.973371
SPU125,7970.000000,0.000000,7970.000000,4.188790,7970.000000,2.094395
Breaker_392-106294,2193.209139,-0.146100,2192.944571,4.042640,2195.359931,1.948714
Breaker_392-106314,2193.209139,-0.146100,2192.944571,4.042640,2195.359931,1.948714
Breaker_392-89014,7643.426548,-0.100806,7643.308846,4.087914,7644.201211,1.993550
Breaker_392-89655,7625.551014,-0.107444,7625.429653,4.081272,7626.376668,1.986910
Breaker_416-32980,7969.966938,0.000007,7969.966940,4.188797,7969.966923,2.094402
Fuse_402-619382,0.000000,0.000000,2340.372818,4.067804,0.000000,0.000000
Reg_SPU125,7969.879793,0.000009,7969.879794,4.188800,7969.879785,2.094405
SW_403-618762,7621.948189,-0.108780,7621.826146,4.079935,7622.784140,1.985574
SW_409-401941,2397.223658,-0.114583,2397.184425,4.074128,2397.500617,1.979769
SW_500-933236,7613.150430,-0.112121,7613.026778,4.076591,7614.012043,1.982231
Xfmr_409-401941,2399.014800,-0.112617,2398.975863,4.076096,2399.286888,1.981736
