# output_current.csv run at 2019-05-03 12:01:19 PDT on 58 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
recloser_Breaker Recloser1,0.000000,0.000000,0.000000,3.926991,0.000000,0.000000
recloser_Breaker Recloser2,10.094552,-0.360925,38.119534,3.824693,26.461632,1.738033
recloser_Breaker Recloser3,0.000000,4.186620,0.000000,0.785398,0.000000,3.926991
recloser_392-93179,331.652361,-0.404453,329.744394,3.781202,280.839202,1.686985
FUSEs_402-1375944,45.201109,-0.360816,53.541441,3.824630,0.000000,0.000000
FUSEs_402-1375942,10.094552,-0.360925,38.119534,3.824693,10.084401,1.738087
FUSEs_402-1375943,69.540540,-0.361150,31.318836,3.824954,46.699449,1.738303
389-1183379-0,0.000000,4.252082,0.000000,2.109514,0.000000,2.675991
389-1183388-0,0.000000,4.590831,0.000000,2.284715,16.377231,1.738000
389-1183414-0,69.540540,-0.361150,31.318836,3.824954,46.699449,1.738303
389-1183416-0,38.201204,-0.361171,0.000000,0.000000,0.000000,0.000000
389-1183416-1,24.268796,-0.361188,0.000000,0.000000,0.000000,0.000000
389-1190523-0,0.000000,0.000000,18.124566,3.824604,0.000000,0.000000
389-1194536-0,337.870843,-0.404453,335.927102,3.781202,286.104937,1.686985
389-1194537-0,337.870843,-0.404453,335.927102,3.781202,286.104937,1.686985
389-1194538-0,337.870843,-0.404453,335.927102,3.781202,286.104937,1.686985
389-1459976-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-1459979-0,676.567851,-0.429883,676.281084,3.756090,676.096245,1.669404
389-1473435-0,0.000000,3.301635,0.000000,1.955072,0.000000,0.359594
389-1648774-0,0.000000,0.000000,9.148101,3.824596,0.000000,0.000000
389-1901569-0,0.000000,4.704678,0.000000,3.141766,0.000000,1.377814
389-1901570-0,0.000000,-1.515781,0.000000,3.149475,0.000000,1.610348
389-1901582-0,0.000000,-1.350220,0.000000,3.086949,0.000000,1.898186
389-1901582-1,676.567851,-0.429883,676.281084,3.756090,676.096245,1.669404
389-2176151-0,676.567851,-0.429883,676.281084,3.756090,676.096245,1.669404
389-2176152-0,676.567851,-0.429883,676.281084,3.756090,676.096245,1.669404
389-3000721-0,45.201109,-0.360816,53.541441,3.824630,0.000000,0.000000
389-3000739-0,10.094552,-0.360925,38.119534,3.824693,10.084401,1.738087
389-3000741-0,10.094552,-0.360925,38.119534,3.824693,10.084401,1.738087
389-3000742-0,69.540540,-0.361150,31.318836,3.824954,46.699449,1.738303
389-3000743-0,45.201109,-0.360816,53.541441,3.824630,0.000000,0.000000
389-3025314-0,0.000000,3.658507,0.000000,2.330749,16.377231,1.738000
389-3028233-0,0.000000,4.189683,0.000000,3.890873,0.000000,-0.352905
389-3049331-0,337.870843,-0.404453,335.927102,3.781202,286.104937,1.686985
389-3050618-0,337.870843,-0.404453,335.927102,3.781202,286.104937,1.686985
389-3050618-1,0.000000,3.424379,0.000000,0.273067,0.000000,0.273067
389-3063713-0,0.000000,3.275146,0.000000,1.958039,0.000000,0.356493
389-3063714-0,10.094552,-0.360925,38.119534,3.824693,10.084401,1.738087
389-3063714-1,0.000000,3.219693,0.000000,1.947911,0.000000,0.355518
389-3064097-0,79.635091,-0.361122,69.438369,3.824811,73.161081,1.738205
389-3064097-1,10.094552,-0.360925,38.119534,3.824693,26.461632,1.738033
389-3065377-0,10.094552,-0.360925,38.119534,3.824693,26.461632,1.738033
389-3104116-0,0.000000,4.275596,0.000000,0.525083,0.000000,3.717787
389-3104180-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-3109251-0,337.870843,-0.404453,335.927102,3.781202,286.104937,1.686985
389-3126436-0,337.870843,-0.404453,335.927102,3.781202,286.104937,1.686985
389-3135075-0,337.870843,-0.404453,335.927102,3.781202,286.104937,1.686985
389-547413-0,337.870843,-0.404453,335.927102,3.781202,286.104937,1.686985
389-547415-0,337.870843,-0.404453,335.927102,3.781202,286.104937,1.686985
389-547730-0,337.870843,-0.404453,335.927102,3.781202,286.104937,1.686985
389-781331-0,13.932408,-0.361141,0.000000,0.000000,0.000000,0.000000
Regulator_416-74596,331.652361,-0.404453,329.744394,3.781202,280.839202,1.686985
Switch_396-67859,676.567851,-0.429883,676.281084,3.756090,676.096245,1.669404
Switch_390-66586,0.000000,3.595895,0.000000,1.892547,0.000000,0.785398
Switch_396-83540,676.567851,-0.429883,676.281084,3.756090,676.096245,1.669404
Switch_P1628,0.000000,1.408597,0.000000,-0.321751,16.377231,1.738000
Switch_396-153620,337.870843,-0.404453,335.927102,3.781202,286.104937,1.686985
Trafo_409-401940,213.221360,-0.429883,213.130985,3.756090,213.072733,1.669404
