# output_voltage.csv run at 2019-05-03 12:01:19 PDT on 72 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
Large_customer_389-2176152-0,2411.537161,-0.022422,2422.212341,4.163236,2429.932839,2.077407
LOAD_389-1183388-0,7668.134048,-0.020744,7700.159028,4.164766,7725.494723,2.078783
LOAD_389-1183414-0,7662.758055,-0.020863,7700.283367,4.164915,7722.490513,2.079120
LOAD_389-1183416-1,7659.776851,-0.020932,0.000000,0.000000,0.000000,0.000000
LOAD_389-1190523-0,0.000000,0.000000,7687.403703,4.164536,0.000000,0.000000
LOAD_389-1648774-0,0.000000,0.000000,7686.641711,4.164519,0.000000,0.000000
LOAD_389-1901582-1,2415.869045,-0.021171,2426.555957,4.164476,2434.282402,2.078649
LOAD_389-3000739-0,7666.255879,-0.020640,7695.703068,4.164626,7725.826531,2.078880
LOAD_389-3000743-0,7652.976124,-0.020518,7688.925631,4.164571,0.000000,0.000000
LOAD_389-3028233-0,7668.134048,-0.020744,7700.159028,4.164766,7725.494723,2.078783
LOAD_389-3063713-0,7667.659714,-0.020736,7700.322626,4.164706,7726.132755,2.078893
LOAD_389-3065377-0,7667.668963,-0.020737,7700.345392,4.164710,7726.122434,2.078894
LOAD_389-781331-0,7661.997992,-0.020880,0.000000,0.000000,0.000000,0.000000
390-174458,7667.867945,-0.020740,7700.265655,4.164734,7725.853578,2.078847
390-59548,7667.659714,-0.020736,7700.322626,4.164706,7726.132755,2.078893
390-66586,7667.659714,-0.020736,7700.322626,4.164706,7726.132755,2.078893
392-106295,2411.537161,-0.022422,2422.212341,4.163236,2429.932839,2.077407
392-106314,2411.537161,-0.022422,2422.212341,4.163236,2429.932839,2.077407
392-89656,7668.134048,-0.020744,7700.159028,4.164766,7725.494723,2.078783
392-96374,7667.659714,-0.020736,7700.322626,4.164706,7726.132755,2.078893
392-96694,7667.703453,-0.020768,7701.228374,4.164814,7726.148890,2.078992
396-153620,7816.684295,-0.000845,7818.090978,4.187811,7819.180211,2.093768
396-67859,2415.117694,-0.021372,2425.802603,4.164277,2433.528060,2.078449
396-83540,2411.953735,-0.022297,2422.630054,4.163360,2430.351136,2.077531
402-1375942,7667.534039,-0.020728,7699.908943,4.164699,7726.105124,2.078892
402-1375943,7667.507391,-0.020793,7701.814636,4.164892,7726.005255,2.079067
402-1375944,7667.108899,-0.020635,7701.223752,4.164963,0.000000,0.000000
403-1231577,7807.397260,-0.002052,7810.794027,4.186415,7813.404501,2.092872
403-180601,7705.421788,-0.015600,7731.092716,4.170796,7749.928015,2.082873
403-180602,7683.827370,-0.018540,7714.317031,4.167418,7736.471672,2.080716
