# output_current.csv run at 2019-05-07 15:53:20 PDT on 284 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
recloser_392-58264,0.000000,2.947911,0.000000,3.926991,0.000000,1.637364
FUSEs_402-1369238,0.000000,2.356194,0.000000,2.356194,0.000000,1.460139
389-2584387-0,0.000000,2.797193,0.000000,2.168286,0.000000,1.610653
389-2584388-0,0.000000,2.188951,0.000000,2.510709,0.000000,1.623211
TIE-391-1323823,0.000000,2.139189,0.000000,2.498050,0.000000,1.645121
TIE-391-1323836,0.000000,0.232940,0.000000,3.562272,0.000000,1.884334
TIE-391-1324412,0.000000,1.783520,0.000000,2.745091,0.000000,1.761817
TIE-391-1332457,0.000000,-0.408572,0.000000,3.130227,0.000000,1.432528
TIE-391-1366997,0.000000,-0.102664,0.000000,2.208888,0.000000,1.922121
TIE-391-1708485,0.000000,1.960396,0.000000,2.571878,0.000000,1.695805
TIE-391-670943,0.000000,0.825435,0.000000,3.418494,0.000000,1.778906
UGSW-19521,0.000000,-0.412264,0.000000,3.143107,0.000000,2.063899
UGSW-19523,0.000000,-0.491541,0.000000,3.154693,0.000000,1.523114
UGSW-19842,0.000000,1.218438,0.000000,3.178695,0.000000,1.725774
UGSW-20801,0.000000,2.127624,0.000000,2.526184,0.000000,1.705535
UGSW-20803,0.000000,-0.179238,0.000000,2.551760,0.000000,1.539687
UGSW-22401,0.000000,1.141216,0.000000,1.163077,0.000000,4.359455
UGSW-22402,0.000000,0.118543,0.000000,2.467615,0.000000,1.558923
UGSW-22403,0.000000,0.583389,0.000000,2.399530,0.000000,1.639155
UGSW-23365,0.000000,-0.093534,0.000000,1.784371,0.000000,1.905867
UGSW-2562,0.000000,0.110762,0.000000,3.544253,0.000000,2.025555
UGSW-2573,0.000000,2.277259,0.000000,3.687814,0.000000,1.358200
UGSW-25921,0.000000,1.246203,0.000000,1.554996,0.000000,1.754256
UGSW-28161,0.000000,-0.534804,0.000000,1.937011,0.000000,1.458547
UGSW-34563,0.000000,0.080359,0.000000,1.034682,0.000000,1.493380
UGSW-34565,0.000000,2.024347,0.000000,2.712077,0.000000,1.703133
UGSW-6087,0.000000,1.169523,0.000000,1.606272,0.000000,1.897670
Regulator_416-52180,0.000000,2.768522,0.000000,2.356194,0.000000,1.570796
394-1030092-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1030093-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1030094-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1030138-0,0.000000,2.663801,0.000000,0.000000,0.000000,0.000000
394-1030139-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1030140-0,0.000000,0.000000,0.000000,0.000000,0.000000,-1.523539
394-1030144-0,0.000000,3.080556,0.000000,0.000000,0.000000,0.000000
394-1030145-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1030146-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1030147-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1030152-0,0.000000,1.154406,0.000000,0.000000,0.000000,0.000000
394-1030154-0,0.000000,1.225594,0.000000,0.000000,0.000000,0.000000
394-1035884-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1035886-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1035888-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1114013-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1114015-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1114017-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1520759-0,0.000000,4.295999,0.000000,0.000000,0.000000,0.000000
394-1520761-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1520763-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1727125-0,0.000000,4.295999,0.000000,0.000000,0.000000,0.000000
394-1753452-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1753453-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1753454-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1760079-0,0.000000,0.440520,0.000000,0.000000,0.000000,0.000000
394-1760081-0,0.000000,0.000000,0.000000,3.980028,0.000000,0.000000
394-1760083-0,0.000000,0.000000,0.000000,0.000000,0.000000,3.638110
394-1853625-0,0.000000,3.566135,0.000000,0.000000,0.000000,0.000000
