# output_voltage.csv run at 2019-05-07 15:53:20 PDT on 322 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
LOAD_394-1030092-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_394-1030093-0,0.000000,0.000000,7970.000000,4.188790,0.000000,0.000000
LOAD_394-1030094-0,0.000000,0.000000,0.000000,0.000000,7970.000000,2.094395
LOAD_394-1030147-0,0.000000,0.000000,7970.000000,4.188790,0.000000,0.000000
LOAD_394-1030154-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_394-1727125-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_394-1753452-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_394-1753453-0,0.000000,0.000000,7970.000000,4.188790,0.000000,0.000000
LOAD_394-1753454-0,0.000000,0.000000,0.000000,0.000000,7970.000000,2.094395
LOAD_394-1853637-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_394-1853639-0,0.000000,0.000000,0.000000,0.000000,7970.000000,2.094395
LOAD_394-1853641-0,0.000000,0.000000,7970.000000,4.188790,0.000000,0.000000
LOAD_394-1862282-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_394-1862283-0,0.000000,0.000000,7970.000000,4.188790,0.000000,0.000000
LOAD_394-1862284-0,0.000000,0.000000,0.000000,0.000000,7970.000000,2.094395
LOAD_394-1865344-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_394-1865345-0,0.000000,0.000000,7970.000000,4.188790,0.000000,0.000000
LOAD_394-1865346-0,0.000000,0.000000,0.000000,0.000000,7970.000000,2.094395
LOAD_394-2059488-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_394-2059490-0,0.000000,0.000000,0.000000,0.000000,7970.000000,2.094395
LOAD_394-2059492-0,0.000000,0.000000,7970.000000,4.188790,0.000000,0.000000
LOAD_394-2164826-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_394-2164827-0,0.000000,0.000000,7970.000000,4.188790,0.000000,0.000000
LOAD_394-2164828-0,0.000000,0.000000,0.000000,0.000000,7970.000000,2.094395
LOAD_394-2398784-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_394-2398786-0,0.000000,0.000000,0.000000,0.000000,7970.000000,2.094395
LOAD_394-2398788-0,0.000000,0.000000,7970.000000,4.188790,0.000000,0.000000
LOAD_394-2438152-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_394-2438154-0,0.000000,0.000000,0.000000,0.000000,7970.000000,2.094395
LOAD_394-2438156-0,0.000000,0.000000,7970.000000,4.188790,0.000000,0.000000
LOAD_394-2438158-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_394-2438160-0,0.000000,0.000000,0.000000,0.000000,7970.000000,2.094395
LOAD_394-2438162-0,0.000000,0.000000,7970.000000,4.188790,0.000000,0.000000
LOAD_394-809383-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_394-809385-0,0.000000,0.000000,0.000000,0.000000,7970.000000,2.094395
LOAD_394-809643-0,0.000000,0.000000,7970.000000,4.188790,0.000000,0.000000
LOAD_394-836074-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_394-836075-0,0.000000,0.000000,7970.000000,4.188790,0.000000,0.000000
LOAD_394-836076-0,0.000000,0.000000,0.000000,0.000000,7970.000000,2.094395
LOAD_394-861196-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_394-861197-0,0.000000,0.000000,7970.000000,4.188790,0.000000,0.000000
LOAD_394-861198-0,0.000000,0.000000,0.000000,0.000000,7970.000000,2.094395
LOAD_394-861208-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_394-861210-0,0.000000,0.000000,0.000000,0.000000,7970.000000,2.094395
LOAD_394-861212-0,0.000000,0.000000,7970.000000,4.188790,0.000000,0.000000
LOAD_411-1730643-0,7970.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
LOAD_411-1730644-0,0.000000,0.000000,7970.000000,4.188790,0.000000,0.000000
